denumire client,numar factura,total,rest plata,zona / agent
AB ONLYMANIA SRL ZLATNA,DMEG 8680,1132,1132,Alba
AB ONLYMANIA SRL ZLATNA,DMEG 8748,521.97,521.97,Alba
AB ONLYMANIA SRL ZLATNA,DMEG 8792,481.94,481.94,Alba
AB ONLYMANIA SRL ZLATNA,DMEG 8826,987.25,987.25,Alba
AB ONLYMANIA SRL ZLATNA,DMEG 8837,850.85,850.85,Alba
AB ONLYMANIA SRL ZLATNA,DMEG 8867,2802.73,2802.73,Alba
AB ONLYMANIA SRL ZLATNA,DMEG 8902,893.3,893.3,Alba
AB ONLYMANIA SRL ZLATNA,DMEG 8941,840.17,840.17,Alba
ABD AUTO SHOP S.R.L. DEVA,DMEG 8951,464.86,464.86,Hunedoara
ABD AUTO SHOP S.R.L. DEVA,DMEG 8965,541.57,541.57,Hunedoara
ADN LOGISPRINT SRL BRAD,DMEG 8702,6074.02,6074.02,Calin M (G8 En-Gros)
ADRIA SHOP GSM S.R.L. CAMPENI,DMEG 8871,904.6,904.6,Alba
ADRIA SHOP GSM S.R.L. CAMPENI,DMEG 8938,872.99,872.99,Alba
ADRIA SHOP GSM S.R.L. CAMPENI,DMEG 8970,874.25,874.25,Alba
ALBA MOTOR S.R.L. ALBA IULIA,DMEG 8716,385.48,385.48,Alba
ALBA MOTOR S.R.L. ALBA IULIA,DMEG 8852,1418.1,1418.1,Alba
ALBA MOTOR S.R.L. ALBA IULIA,DMEG 8916,450.74,450.74,Alba
ALBU CARS TOOLS S.R.L. SAT PESTISU MARE  HUNEDOA,DMEG 8759,546.62,255.4,Hunedoara
ALBU CARS TOOLS S.R.L. SAT PESTISU MARE  HUNEDOA,DMEG 8805,637.62,637.62,Hunedoara
ALBU CARS TOOLS S.R.L. SAT PESTISU MARE  HUNEDOA,DMEG 8905,1536.5,1536.5,Hunedoara
ALBU CARS TOOLS S.R.L. SAT PESTISU MARE  HUNEDOA,DMEG 8945,226.19,226.19,Hunedoara
ANDREAS AGRO ECHIPAMENT S.R.L. HATEG,DMEGB 89,1842.97,1841.56,Hunedoara
ANDREI DARIOANA SYCO SRL VLADOSESTI,DMEG 8652,207.83,207.83,Alba
ANDREI DARIOANA SYCO SRL VLADOSESTI,DMEG 8940,1334.19,1334.19,Alba
ANDREI DARIOANA SYCO SRL VLADOSESTI,DMEG 8969,1395.14,1395.14,Alba
ARALAND NATURA S.R.L. DAIA ROMANA,DMEG 8790,545,545,Calin M (G8 En-Gros)
ATHENA ENERGY CARS S.R.L. DEVA,DMEG 3396,1017.46,132.46,Hunedoara
ATHENA ENERGY CARS S.R.L. DEVA,DMEG 3431,152.68,152.68,Hunedoara
ATHENA ENERGY CARS S.R.L. DEVA,DMEG 3492,163.05,163.05,Hunedoara
ATHENA ENERGY CARS S.R.L. DEVA,DMEG 3565,220.74,220.74,Hunedoara
ATHENA ENERGY CARS S.R.L. DEVA,DMEG 3587,304.68,304.68,Hunedoara
ATHENA ENERGY CARS S.R.L. DEVA,DMEG 3617,216.59,216.59,Hunedoara
AUTO CARMA COM S.R.L. ALBA IULIA,DMEG 8886,232.73,232.73,Alba
AUTO DORYMAG S.R.L. BLAJ,DMEG 8813,301.59,301.59,Alba
AUTO DORYMAG S.R.L. BLAJ,DMEG 8829,1057.78,1057.78,Alba
AUTO DORYMAG S.R.L. BLAJ,DMEG 8858,1252.83,1252.83,Alba
AUTO DORYMAG S.R.L. BLAJ,DMEG 8885,1178.49,1178.49,Alba
AUTO DORYMAG S.R.L. BLAJ,DMEG 8925,361.76,361.76,Alba
AUTO DORYMAG S.R.L. BLAJ,DMEG 8958,234.55,234.55,Alba
AUTO MAIER SERVICE SRL CRACIUNELUL DE JOS,DMEG 8776,7388.44,6957.53,Alba
AUTO MARIO EXPERT S.R.L. SAT CRISTUR  DEVA,DMEG 8833,813.02,133.22,Hunedoara
AUTO MARIO EXPERT S.R.L. SAT CRISTUR  DEVA,DMEG 8895,323.57,323.57,Hunedoara
AUTO MARIO EXPERT S.R.L. SAT CRISTUR  DEVA,DMEG 8948,1514.21,1514.21,Hunedoara
AUTO MARZA SRL ABRUD,DMEG 7826,279.4,157.52,Alba
AUTO MARZA SRL ABRUD,DMEG 7965,839.88,839.88,Alba
AUTO MARZA SRL ABRUD,DMEGB 84,1835.5,1835.5,Alba
AUTO MARZA SRL ABRUD,DMEGB 87,615.06,615.06,Alba
AUTO MET 2006 SRL HUNEDOARA,DMEG 8801,1583.47,1583.47,Hunedoara
AUTO MET 2006 SRL HUNEDOARA,DMEG 8906,2461.4,2461.4,Hunedoara
AUTO MOTO SHOP S.R.L. ALBA IULIA,DMEG 8791,474.72,398.72,Alba
AUTO MOTO SHOP S.R.L. ALBA IULIA,DMEG 8903,501.06,501.06,Alba
AUTO MOTO SHOP S.R.L. ALBA IULIA,DMEG 8974,1213.92,1213.92,Alba
AUTO NEK SERVICE SRL AVRAM IANCU,DMEG 8935,442.48,442.48,Alba
AUTO NEK SERVICE SRL AVRAM IANCU,DMEG 8953,290.61,290.61,Alba
AUTO NEK SERVICE SRL AVRAM IANCU,DMEG 8967,290.61,290.61,Alba
AUTO PARTS HUB S.R.L. OCNA MURES,DMEG 8855,258.46,258.46,Alba
AUTO PARTS HUB S.R.L. OCNA MURES,DMEG 8881,420.63,420.63,Alba
AUTO PARTS HUB S.R.L. OCNA MURES,DMEG 8955,541.84,541.84,Alba
AUTO WIS SERVICE SRL DEVA,DMEG 8576,724.46,584.74,Hunedoara
AUTO WIS SERVICE SRL DEVA,DMEG 8577,346.81,346.81,Hunedoara
AUTO WIS SERVICE SRL DEVA,DMEG 8621,692.5,692.5,Hunedoara
AUTO WIS SERVICE SRL DEVA,DMEG 8660,188.29,188.29,Hunedoara
